0.0026899,0.0002,0.01226
0.010781,0.0008,0.04925
0.037981,0.0028,0.17409
0.099941,0.0074,0.46053
0.22948,0.0175,1.0658
0.31095,0.0273,1.4672
0.33336,0.0379,1.6166
0.28882,0.0468,1.4717
0.23276,0.06,1.2917
0.17476,0.09098,1.1138
0.091944,0.13902,0.75596
0.031731,0.20802,0.44669
0.0048491,0.323,0.26437
0.0092899,0.503,0.15445
0.063791,0.71,0.076585
0.16692,0.862,0.041366
0.29269,0.954,0.020042
0.43635,0.99495,0.0087823
0.59748,0.995,0.0040493
0.76425,0.952,0.0022771
0.91635,0.87,0.0018066
1.023,0.757,0.0012348
1.055,0.631,0.00090564
0.99239,0.503,0.00042885
0.84346,0.381,0.00025598
0.63289,0.265,0.000097694
0.44062,0.175,0.000051165
0.27862,0.107,0.000024238
0.16161,0.061,0.000011906
0.085753,0.032,5.60E-06
0.045834,0.017,2.79E-06
0.022187,0.00821,1.31E-06
0.011098,0.004102,6.48E-07
0.0056531,0.002091,3.33E-07
0.0028253,0.001047,1.70E-07
0.0013994,0.00052,8.71E-08
